window_index,reconstruction_error,camera_threshold,normalized_score,camera_prediction,true_label
0,0.055007078,0.1934913545846939,0.284287,0,0
1,0.060248654,0.1934913545846939,0.31137645,0,0
2,0.06369644,0.1934913545846939,0.32919526,0,0
3,0.050013836,0.1934913545846939,0.258481,0,0
4,0.045679428,0.1934913545846939,0.23607995,0,0
5,0.056249898,0.1934913545846939,0.29071012,0,0
6,0.07636285,0.1934913545846939,0.39465767,0,0
7,0.05588606,0.1934913545846939,0.28882974,0,0
8,0.09077973,0.1934913545846939,0.46916685,0,0
9,0.071929656,0.1934913545846939,0.3717461,0,0
10,0.15919413,0.1934913545846939,0.82274544,0,0
11,0.10779174,0.1934913545846939,0.55708814,0,0
12,0.05313052,0.1934913545846939,0.27458858,0,0
13,0.06426705,0.1934913545846939,0.3321443,0,0
14,0.093154155,0.1934913545846939,0.48143834,0,0
15,0.08443352,0.1934913545846939,0.43636844,0,0
16,0.041347645,0.1934913545846939,0.21369247,0,0
17,0.04539778,0.1934913545846939,0.23462434,0,0
18,0.042732228,0.1934913545846939,0.22084825,0,0
19,0.042848445,0.1934913545846939,0.22144888,0,0
20,0.059137367,0.1934913545846939,0.30563313,0,0
21,0.031025695,0.1934913545846939,0.16034667,0,0
22,0.06228254,0.1934913545846939,0.32188797,0,0
23,0.06714528,0.1934913545846939,0.34701955,0,0
24,0.07708645,0.1934913545846939,0.3983974,0,0
25,0.040182255,0.1934913545846939,0.20766951,0,0
26,0.048739377,0.1934913545846939,0.25189435,0,0
27,0.07263113,0.1934913545846939,0.37537143,0,0
28,0.089555755,0.1934913545846939,0.46284112,0,0
29,0.13149758,0.1934913545846939,0.6796044,0,0
30,0.20202847,0.1934913545846939,1.0441214,1,0
31,0.11769555,0.1934913545846939,0.6082729,0,0
32,0.032536842,0.1934913545846939,0.16815656,0,0
33,0.017993461,0.1934913545846939,0.09299362,0,0
34,0.037759453,0.1934913545846939,0.195148,0,0
35,0.04097674,0.1934913545846939,0.21177556,0,0
36,0.28716454,0.1934913545846939,1.4841207,1,1
37,0.23439302,0.1934913545846939,1.2113875,1,1
38,0.115716934,0.1934913545846939,0.5980471,0,1
39,0.107100405,0.1934913545846939,0.5535152,0,1
40,0.16589415,0.1934913545846939,0.8573724,0,1
41,0.11328143,0.1934913545846939,0.5854599,0,1
42,0.07510934,0.1934913545846939,0.3881793,0,0
43,0.14106642,0.1934913545846939,0.72905797,0,1
44,0.21103795,0.1934913545846939,1.0906842,1,1
45,0.37524694,0.1934913545846939,1.9393474,1,1
46,0.24034849,0.1934913545846939,1.2421665,1,1
47,0.24699906,0.1934913545846939,1.2765379,1,1
48,0.23443285,0.1934913545846939,1.2115934,1,1
49,0.36294314,0.1934913545846939,1.875759,1,1
50,0.2779574,0.1934913545846939,1.4365366,1,1
